Date,Followers
2020-05-08,1102081
2020-05-07,1101869
2020-05-06,1101657
2020-05-05,1101394
2020-05-04,1101199
2020-05-03,1100999
2020-05-02,1100823
2020-05-01,1100637
2020-04-30,1100446
2020-04-29,1100244
2020-04-28,1100022
2020-04-27,1099733
2020-04-26,1099499
2020-04-25,1099207
2020-04-24,1098984
2020-04-23,1098678
2020-04-22,1098447
2020-04-21,1098169
2020-04-20,1097887
2020-04-19,1097628
2020-04-18,1097321
2020-04-17,1097018
2020-04-16,1096716
2020-04-15,1096432
2020-04-14,1096212
2020-04-13,1095967
2020-04-12,1095744
2020-04-11,1095545
2020-04-10,1095301
2020-04-09,1095059
2020-04-08,1094784
2020-04-07,1094444
2020-04-06,1094247
2020-04-05,1094036
2020-04-04,1093841
2020-04-03,1093579
2020-04-02,1093313
2020-04-01,1093055
2020-03-31,1092774
2020-03-30,1092461
2020-03-29,1092244
2020-03-28,1091968
2020-03-27,1091702
2020-03-26,1091449
2020-03-25,1091196
2020-03-24,1090999
2020-03-23,1090780
2020-03-22,1090281
2020-03-21,1090076
2020-03-20,1089863
2020-03-19,1089689
2020-03-18,1089539
2020-03-17,1089340
2020-03-16,1089145
2020-03-15,1089001
2020-03-14,1088893
2020-03-13,1088851
2020-03-12,1088786
2020-03-11,1088738
2020-03-10,1088701
2020-03-09,1088648
2020-03-08,1088578
2020-03-07,1088498
2020-03-06,1088419
2020-03-05,1088350
2020-03-04,1088307
2020-03-03,1088262
2020-03-02,1088185
2020-03-01,1088116
2020-02-29,1088062
2020-02-28,1088006
2020-02-27,1087967
2020-02-26,1087902
2020-02-25,1087843
2020-02-24,1087766
2020-02-23,1087707
2020-02-22,1087669
2020-02-21,1087630
2020-02-20,1087617
2020-02-19,1087655
2020-02-18,1087637
2020-02-17,1087616
2020-02-16,1087566
2020-02-15,1087314
2020-02-14,1087283
2020-02-13,1087285
2020-02-12,1087246
2020-02-11,1087228
2020-02-10,1087188
2020-02-09,1087120
2020-02-08,1087093
2020-02-07,1087078
2020-02-06,1087039
2020-02-05,1087028
2020-02-04,1086996
2020-02-03,1086916
2020-02-02,1086868
2020-02-01,1086833
2020-01-31,1086779
2020-01-30,1086743
2020-01-29,1086699
2020-01-28,1086673
2020-01-27,1086650
2020-01-26,1086627
2020-01-25,1086554
2020-01-24,1086519
2020-01-23,1086497
2020-01-22,1086451
2020-01-21,1086429
2020-01-20,1086388
2020-01-19,1086344
2020-01-18,1086280
2020-01-17,1086204
2020-01-16,1086124
2020-01-15,1086033
2020-01-14,1085963
2020-01-13,1085918
2020-01-12,1085852
2020-01-11,1085778
2020-01-10,1085754
2020-01-09,1085474
2020-01-08,1084430
2020-01-07,1084315
2020-01-06,1084226
2020-01-05,1084129
2020-01-04,1084049
2020-01-03,1083969
2020-01-02,1083886
2020-01-01,1083798
2019-12-31,1083699
2019-12-30,1083577
2019-12-29,1083498
2019-12-28,1083426
2019-12-27,1083346
2019-12-26,1083229
2019-12-25,1083133
2019-12-24,1083034
2019-12-23,1082922
2019-12-22,1082820
2019-12-21,1082682
2019-12-20,1082532
2019-12-19,1082376
2019-12-18,1082235
2019-12-17,1082074
2019-12-16,1081945
2019-12-15,1081828
2019-12-14,1081707
2019-12-13,1081529
2019-12-12,1081406
2019-12-11,1081242
2019-12-10,1081018
