Date,Followers
2020-05-07,4704562
2020-05-06,4691585
2020-05-05,4673752
2020-05-04,4669337
2020-05-03,4665379
2020-05-02,4659370
2020-05-01,4649727
2020-04-30,4646933
2020-04-29,4634176
2020-04-28,4629600
2020-04-27,4621894
2020-04-26,4613468
2020-04-25,4601731
2020-04-24,4594143
2020-04-23,4591138
2020-04-22,4588286
2020-04-21,4575630
2020-04-20,4573026
2020-04-19,4570611
2020-04-18,4553119
2020-04-17,4543014
2020-04-16,4540482
2020-04-15,4511553
2020-04-14,4478654
2020-04-13,4475639
2020-04-12,4437171
2020-04-11,4395833
2020-04-10,4346803
2020-04-09,4335040
2020-04-08,4263787
2020-04-07,4217440
2020-04-06,4212167
2020-04-05,4209114
2020-04-04,4199388
2020-04-03,4138588
2020-04-02,4134408
2020-04-01,4128124
2020-03-31,4115925
2020-03-30,4112935
2020-03-29,4106407
2020-03-28,4098956
2020-03-27,4096209
2020-03-26,4093091
2020-03-25,4073906
2020-03-24,4057799
2020-03-23,4055135
2020-03-22,4043427
2020-03-21,4039877
2020-03-20,4036381
2020-03-19,4031112
2020-03-18,4029193
2020-03-17,4025927
2020-03-16,4020491
2020-03-15,4010907
2020-03-14,4003354
2020-03-13,4002008
2020-03-12,4000913
2020-03-11,3997598
2020-03-10,3993783
2020-03-09,3992252
2020-03-08,3983223
2020-03-07,3978681
2020-03-06,3976987
2020-03-05,3969864
2020-03-04,3968701
2020-03-03,3965216
2020-03-02,3963776
2020-03-01,3959261
2020-02-29,3950284
2020-02-28,3945144
2020-02-27,3943629
2020-02-26,3938791
2020-02-25,3947237
2020-02-24,3942492
2020-02-23,3937295
2020-02-22,3933445
2020-02-21,3927932
2020-02-20,3926830
2020-02-19,3917922
2020-02-18,3915147
2020-02-17,3913402
2020-02-16,3910224
2020-02-15,3907772
2020-02-14,3905166
2020-02-13,3901402
2020-02-12,3898239
2020-02-11,3895646
2020-02-10,3891640
2020-02-09,3890102
2020-02-08,3887542
2020-02-07,3883022
2020-02-06,3881925
2020-02-05,3881317
2020-02-04,3876401
2020-02-03,3875034
2020-02-02,3873387
2020-02-01,3871752
2020-01-31,3870213
2020-01-30,3867201
