Date,Followers
2020-05-07,4980000
2020-05-06,4960000
2020-05-05,4950000
2020-05-04,4940000
2020-05-03,4930000
2020-05-02,4920000
2020-05-01,4910000
2020-04-30,4900000
2020-04-29,4890000
2020-04-28,4880000
2020-04-27,4870000
2020-04-26,4860000
2020-04-25,4850000
2020-04-24,4840000
2020-04-23,4830000
2020-04-22,4830000
2020-04-21,4820000
2020-04-20,4820000
2020-04-19,4810000
2020-04-18,4810000
2020-04-17,4800000
2020-04-16,4800000
2020-04-15,4800000
2020-04-14,4790000
2020-04-13,4790000
2020-04-12,4780000
2020-04-11,4780000
2020-04-10,4770000
2020-04-09,4770000
2020-04-08,4760000
2020-04-07,4750000
2020-04-06,4740000
2020-04-05,4740000
2020-04-04,4730000
2020-04-03,4730000
2020-04-02,4720000
2020-04-01,4720000
2020-03-31,4710000
2020-03-30,4710000
2020-03-29,4700000
2020-03-28,4700000
2020-03-27,4690000
2020-03-26,4690000
2020-03-25,4680000
2020-03-24,4670000
2020-03-23,4670000
2020-03-22,4660000
2020-03-21,4650000
2020-03-20,4650000
2020-03-19,4640000
2020-03-18,4640000
2020-03-17,4630000
2020-03-16,4630000
2020-03-15,4620000
2020-03-14,4620000
2020-03-13,4620000
2020-03-12,4620000
2020-03-11,4610000
2020-03-10,4610000
2020-03-09,4610000
2020-03-08,4600000
2020-03-07,4600000
2020-03-06,4600000
2020-03-05,4590000
2020-03-04,4590000
2020-03-03,4590000
2020-03-02,4590000
2020-03-01,4580000
2020-02-29,4580000
2020-02-28,4570000
2020-02-27,4570000
2020-02-26,4570000
2020-02-25,4560000
2020-02-24,4560000
2020-02-23,4550000
2020-02-22,4540000
2020-02-21,4540000
2020-02-20,4530000
2020-02-19,4530000
2020-02-18,4530000
2020-02-17,4530000
2020-02-16,4520000
2020-02-15,4520000
2020-02-14,4520000
2020-02-13,4510000
2020-02-12,4510000
2020-02-11,4510000
2020-02-10,4510000
2020-02-09,4500000
2020-02-08,4500000
2020-02-07,4500000
2020-02-06,4490000
2020-02-05,4490000
2020-02-04,4490000
2020-02-03,4480000
2020-02-02,4480000
2020-02-01,4480000
2020-01-31,4470000
2020-01-30,4460000
2020-01-29,4460000
2020-01-28,4450000
2020-01-27,4440000
2020-01-26,4420000
2020-01-25,4410000
2020-01-24,4380000
2020-01-23,4370000
2020-01-22,4350000
2020-01-21,4340000
2020-01-20,4310000
2020-01-19,4300000
2020-01-18,4300000
2020-01-17,4300000
2020-01-16,4290000
2020-01-15,4290000
2020-01-14,4290000
2020-01-13,4290000
2020-01-12,4290000
2020-01-11,4280000
2020-01-10,4280000
2020-01-09,4280000
2020-01-08,4270000
2020-01-07,4270000
2020-01-06,4270000
2020-01-05,4260000
2020-01-04,4260000
2020-01-03,4250000
2020-01-02,4250000
2020-01-01,4240000
2019-12-31,4240000
2019-12-30,4230000
2019-12-29,4230000
2019-12-28,4220000
2019-12-27,4220000
2019-12-26,4220000
2019-12-25,4210000
2019-12-24,4210000
2019-12-23,4210000
2019-12-22,4210000
2019-12-21,4210000
2019-12-20,4200000
2019-12-19,4200000
2019-12-18,4200000
2019-12-17,4200000
2019-12-16,4190000
2019-12-15,4190000
2019-12-14,4190000
2019-12-13,4180000
2019-12-12,4180000
2019-12-11,4180000
2019-12-10,4180000
2019-12-09,4170000
2019-12-08,4170000
2019-12-07,4160000
2019-12-06,4160000
2019-12-05,4150000
2019-12-04,4140000
2019-12-03,4140000
2019-12-02,4140000
2019-12-01,4130000
2019-11-30,4120000
2019-11-29,4110000
2019-11-28,4110000
2019-11-27,4110000
2019-11-26,4110000
2019-11-25,4100000
2019-11-24,4100000
2019-11-23,4100000
2019-11-22,4100000
2019-11-21,4090000
2019-11-20,4090000
2019-11-19,4090000
2019-11-18,4090000
2019-11-17,4090000
2019-11-16,4080000
2019-11-15,4080000
2019-11-14,4080000
2019-11-13,4080000
2019-11-12,4080000
2019-11-11,4080000
2019-11-10,4080000
2019-11-09,4070000
2019-11-08,4070000
2019-11-07,4070000
2019-11-06,4070000
2019-11-05,4070000
2019-11-04,4060000
2019-11-03,4060000
2019-11-02,4060000
2019-11-01,4060000
2019-10-31,4060000
2019-10-30,4060000
2019-10-29,4060000
2019-10-28,4060000
2019-10-27,4060000
2019-10-26,4050000
2019-10-25,4050000
2019-10-24,4050000
2019-10-23,4050000
2019-10-22,4050000
2019-10-21,4040000
2019-10-20,4040000
2019-10-19,4040000
2019-10-18,4040000
2019-10-17,4030000
2019-10-16,4030000
2019-10-15,4030000
2019-10-14,4020000
2019-10-13,4020000
2019-10-12,4020000
2019-10-11,4020000
2019-10-10,4010000
2019-10-09,4010000
2019-10-08,4010000
2019-10-07,4000000
2019-10-06,4000000
2019-10-05,4000000
2019-10-04,3990000
2019-10-03,3990000
2019-10-02,3990000
2019-10-01,3990000
2019-09-30,3990000
2019-09-29,3980000
2019-09-28,3980000
2019-09-27,3980000
2019-09-26,3980000
2019-09-25,3980000
2019-09-24,3980000
2019-09-23,3970000
2019-09-22,3970000
2019-09-21,3970000
2019-09-20,3970000
2019-09-19,3970000
2019-09-18,3960000
2019-09-17,3966001
2019-09-16,3963990
2019-09-15,3960751
2019-09-14,3958043
2019-09-13,3955848
2019-09-12,3953339
2019-09-11,3950175
2019-09-10,3947306
2019-09-09,3942980
2019-09-08,3936395
2019-09-07,3932582
2019-09-06,3929881
2019-09-05,3925577
2019-09-04,3919572
2019-09-03,3912103
2019-09-02,3906402
2019-09-01,3903486
2019-08-31,3901625
2019-08-30,3899220
2019-08-29,3897178
2019-08-28,3894946
2019-08-27,3892493
2019-08-26,3890077
2019-08-25,3887847
2019-08-24,3885592
2019-08-23,3884277
2019-08-22,3883326
2019-08-21,3881807
2019-08-20,3879926
2019-08-19,3877188
2019-08-18,3873639
2019-08-17,3869574
2019-08-16,3866276
2019-08-15,3863190
2019-08-14,3861506
2019-08-13,3859300
2019-08-12,3856333
2019-08-11,3854120
2019-08-10,3851814
2019-08-09,3848736
2019-08-08,3845878
2019-08-07,3842721
2019-08-06,3839931
2019-08-05,3836199
2019-08-04,3832499
2019-08-03,3828239
2019-08-02,3825129
2019-08-01,3822531
2019-07-31,3819925
2019-07-30,3817499
2019-07-29,3815051
2019-07-28,3812190
2019-07-27,3809038
2019-07-26,3804979
2019-07-25,3801031
2019-07-24,3795830
2019-07-23,3789575
2019-07-22,3784538
2019-07-21,3779753
2019-07-20,3776956
2019-07-19,3772970
2019-07-18,3768091
2019-07-17,3764944
2019-07-16,3760970
2019-07-15,3757400
2019-07-14,3754482
2019-07-13,3751348
2019-07-12,3748319
2019-07-11,3743816
2019-07-10,3740043
2019-07-09,3736230
2019-07-08,3732934
2019-07-07,3730550
2019-07-06,3727971
2019-07-05,3725145
