Date,Followers
2020-05-07,1962547
2020-05-06,1957894
2020-05-05,1952800
2020-05-04,1947480
2020-05-03,1943408
2020-05-02,1939028
2020-05-01,1935007
2020-04-30,1931180
2020-04-29,1927152
2020-04-28,1921569
2020-04-27,1914645
2020-04-26,1908242
2020-04-25,1899227
2020-04-24,1895764
2020-04-23,1893203
2020-04-22,1889863
2020-04-21,1885371
2020-04-20,1881863
2020-04-19,1878038
2020-04-18,1874694
2020-04-17,1869864
2020-04-16,1867075
2020-04-15,1863653
2020-04-14,1859330
2020-04-13,1855958
2020-04-12,1852356
2020-04-11,1848671
2020-04-10,1845344
2020-04-09,1841869
2020-04-08,1837856
2020-04-07,1832081
2020-04-06,1826444
2020-04-05,1824200
2020-04-04,1821400
2020-04-03,1818022
2020-04-02,1814621
2020-04-01,1811322
2020-03-31,1807040
2020-03-30,1804057
2020-03-29,1800951
2020-03-28,1798460
2020-03-27,1796179
2020-03-26,1793211
2020-03-25,1789236
2020-03-24,1786071
2020-03-23,1783946
2020-03-22,1780209
2020-03-21,1778501
2020-03-20,1775874
2020-03-19,1772630
2020-03-18,1770990
2020-03-17,1769330
2020-03-16,1767125
2020-03-15,1763554
2020-03-14,1761655
2020-03-13,1759271
2020-03-12,1757408
2020-03-11,1755870
2020-03-10,1753843
2020-03-09,1751034
2020-03-08,1749139
2020-03-07,1746971
2020-03-06,1744174
2020-03-05,1741188
2020-03-04,1739549
2020-03-03,1737091
2020-03-02,1735387
2020-03-01,1734041
2020-02-29,1731716
2020-02-28,1729336
2020-02-27,1726349
2020-02-26,1720859
2020-02-25,1718313
2020-02-24,1713872
2020-02-23,1710751
2020-02-22,1706099
2020-02-21,1700769
2020-02-20,1698454
2020-02-19,1695627
2020-02-18,1693275
2020-02-17,1691569
2020-02-16,1690088
2020-02-15,1688155
2020-02-14,1685788
2020-02-13,1682259
2020-02-12,1678862
2020-02-11,1676945
2020-02-10,1675209
2020-02-09,1673080
2020-02-08,1670500
2020-02-07,1668472
2020-02-06,1667030
2020-02-05,1665004
2020-02-04,1662571
2020-02-03,1660190
2020-02-02,1656497
2020-02-01,1654126
2020-01-31,1652201
2020-01-30,1650057
2020-01-29,1646462
2020-01-28,1644355
2020-01-27,1639771
2020-01-26,1633327
2020-01-25,1628494
2020-01-24,1621044
2020-01-23,1618521
2020-01-22,1615873
2020-01-21,1612035
2020-01-20,1606403
2020-01-19,1601018
2020-01-18,1591934
2020-01-17,1590095
2020-01-16,1587713
2020-01-15,1584201
2020-01-14,1580117
2020-01-13,1575966
2020-01-12,1567751
2020-01-11,1561082
2020-01-10,1559572
2020-01-09,1557288
2020-01-08,1552738
2020-01-07,1550333
2020-01-06,1548254
2020-01-05,1545594
2020-01-04,1542603
2020-01-03,1539642
2020-01-02,1536197
2020-01-01,1531633
2019-12-31,1529229
2019-12-30,1526541
2019-12-29,1522952
2019-12-28,1517712
2019-12-27,1515555
2019-12-26,1512992
2019-12-25,1509834
2019-12-24,1507057
2019-12-23,1502582
2019-12-22,1500427
2019-12-21,1498033
2019-12-20,1495906
