Date,Followers
2020-05-07,853095
2020-05-06,853019
2020-05-05,852985
2020-05-04,852892
2020-05-03,852815
2020-05-02,852725
2020-05-01,852672
2020-04-30,852562
2020-04-29,852469
2020-04-28,852343
2020-04-27,852223
2020-04-26,852105
2020-04-25,851724
2020-04-24,850717
2020-04-23,850707
2020-04-22,850596
2020-04-21,850513
2020-04-20,850629
2020-04-19,850677
2020-04-18,850678
2020-04-17,850730
2020-04-16,850602
2020-04-15,850540
2020-04-14,850503
2020-04-13,850483
2020-04-12,850349
2020-04-11,850325
2020-04-10,849303
2020-04-09,849295
2020-04-08,849257
2020-04-07,849272
2020-04-06,849232
2020-04-05,849243
2020-04-04,849257
2020-04-03,849183
2020-04-02,849200
2020-04-01,849172
2020-03-31,849180
2020-03-30,849213
2020-03-29,849254
2020-03-28,849233
2020-03-27,849515
2020-03-26,849664
2020-03-25,849666
2020-03-24,849632
2020-03-23,849630
2020-03-22,849632
2020-03-21,849705
2020-03-20,849758
2020-03-19,849755
2020-03-18,849840
2020-03-17,849825
2020-03-16,849807
2020-03-15,849836
2020-03-14,849802
2020-03-13,849813
2020-03-12,849831
2020-03-11,849875
2020-03-10,849896
2020-03-09,849894
2020-03-08,849905
2020-03-07,849928
2020-03-06,849949
2020-03-05,849932
2020-03-04,849938
2020-03-03,849939
2020-03-02,849898
2020-03-01,849885
2020-02-29,849835
2020-02-28,849838
2020-02-27,849864
2020-02-26,849877
2020-02-25,849984
2020-02-24,850021
2020-02-23,850082
2020-02-22,850072
2020-02-21,850081
2020-02-20,850046
2020-02-19,849977
2020-02-18,849981
2020-02-17,850005
2020-02-16,850021
2020-02-15,850104
2020-02-14,850157
2020-02-13,850232
2020-02-12,850250
2020-02-11,850301
2020-02-10,850320
2020-02-09,850323
2020-02-08,850338
2020-02-07,850334
2020-02-06,850369
2020-02-05,850410
2020-02-04,850461
2020-02-03,850488
2020-02-02,850518
2020-02-01,850527
2020-01-31,850587
2020-01-30,850597
2020-01-29,850616
2020-01-28,850618
2020-01-27,850699
2020-01-26,850744
2020-01-25,850789
2020-01-24,850809
2020-01-23,850800
2020-01-22,850781
2020-01-21,850746
2020-01-20,850733
2020-01-19,850738
2020-01-18,850747
2020-01-17,850741
2020-01-16,850755
2020-01-15,850747
2020-01-14,850730
2020-01-13,850682
2020-01-12,850664
2020-01-11,850703
2020-01-10,850672
2020-01-09,850645
2020-01-08,850562
2020-01-07,850542
2020-01-06,850522
2020-01-05,850499
2020-01-04,850442
2020-01-03,850416
2020-01-02,850369
2020-01-01,850250
2019-12-31,850205
2019-12-30,850178
2019-12-29,850126
2019-12-28,850141
2019-12-27,850095
2019-12-26,850070
2019-12-25,850042
2019-12-24,849999
2019-12-23,849993
2019-12-22,849988
2019-12-21,849978
2019-12-20,849908
2019-12-19,849854
2019-12-18,849804
2019-12-17,849730
2019-12-16,849685
2019-12-15,849680
2019-12-14,849650
2019-12-13,849541
2019-12-12,849549
2019-12-11,849579
2019-12-10,849601
2019-12-09,849516
2019-12-08,849529
2019-12-07,849537
2019-12-06,849586
2019-12-05,849615
2019-12-04,849613
2019-12-03,849648
2019-12-02,849746
2019-12-01,849770
2019-11-30,849809
2019-11-29,849822
2019-11-28,849835
2019-11-27,849910
2019-11-26,849988
2019-11-25,850117
2019-11-24,850148
2019-11-23,850145
2019-11-22,850111
2019-11-21,850109
2019-11-20,850111
2019-11-19,850101
2019-11-18,850144
2019-11-17,850139
2019-11-16,850176
2019-11-15,850198
2019-11-14,850199
2019-11-13,850284
2019-11-12,850354
2019-11-11,850447
2019-11-10,850458
2019-11-09,850421
2019-11-08,850434
2019-11-07,850449
2019-11-06,850483
2019-11-05,850468
2019-11-04,850463
2019-11-03,850461
2019-11-02,850428
2019-11-01,850423
2019-10-31,850436
2019-10-30,850405
2019-10-29,850371
2019-10-28,850302
2019-10-27,850189
2019-10-26,850027
2019-10-25,849893
2019-10-24,849759
2019-10-23,849663
2019-10-22,849555
2019-10-21,849441
2019-10-20,849212
2019-10-19,848996
2019-10-18,848896
2019-10-17,848774
2019-10-16,848571
2019-10-15,848235
2019-10-14,845093
2019-10-13,829626
2019-10-12,829570
2019-10-11,829605
2019-10-10,829559
2019-10-09,829587
2019-10-08,829631
2019-10-07,829687
2019-10-06,829709
2019-10-05,829691
2019-10-04,829684
2019-10-03,829699
2019-10-02,829722
2019-10-01,829706
2019-09-30,829729
2019-09-29,829726
2019-09-28,829734
2019-09-27,829801
2019-09-26,829813
2019-09-25,829828
2019-09-24,829845
2019-09-23,829880
2019-09-22,829899
2019-09-21,829914
2019-09-20,829923
2019-09-19,829924
2019-09-18,829974
2019-09-17,829994
2019-09-16,830027
2019-09-15,830040
2019-09-14,830061
2019-09-13,830070
2019-09-12,830094
2019-09-11,830160
2019-09-10,830219
2019-09-09,830242
2019-09-08,830242
2019-09-07,830205
2019-09-06,830208
2019-09-05,830180
2019-09-04,830189
2019-09-03,830196
2019-09-02,830151
2019-09-01,830108
2019-08-31,830103
2019-08-30,830077
2019-08-29,830032
2019-08-28,829994
2019-08-27,829930
2019-08-26,829885
2019-08-25,829868
2019-08-24,829827
2019-08-23,829704
2019-08-22,829696
2019-08-21,829667
2019-08-20,829635
2019-08-19,829628
2019-08-18,829563
2019-08-17,829535
2019-08-16,829465
2019-08-15,829404
2019-08-14,829327
2019-08-13,829213
2019-08-12,829083
2019-08-11,828964
2019-08-10,828844
2019-08-09,828620
2019-08-08,828333
2019-08-07,828215
2019-08-06,828090
2019-08-05,827959
2019-08-04,827811
2019-08-03,827658
2019-08-02,827546
2019-08-01,827300
2019-07-31,826689
2019-07-30,826590
2019-07-29,826325
2019-07-28,825654
2019-07-27,825575
2019-07-26,825481
2019-07-25,825352
2019-07-24,825148
2019-07-23,824765
2019-07-22,824614
2019-07-21,824570
2019-07-20,824528
2019-07-19,824475
2019-07-18,824451
2019-07-17,824442
2019-07-16,824378
2019-07-15,824408
2019-07-14,824403
2019-07-13,824392
2019-07-12,824403
2019-07-11,824401
2019-07-10,824350
2019-07-09,824332
2019-07-08,824237
2019-07-07,824126
2019-07-06,824096
2019-07-05,824033
2019-07-04,824030
2019-07-03,824049
2019-07-02,824072
2019-07-01,824028
2019-06-30,823906
2019-06-29,823823
2019-06-28,823762
2019-06-27,823700
2019-06-26,823676
2019-06-25,823640
2019-06-24,823652
2019-06-23,823542
2019-06-22,823411
2019-06-21,823424
2019-06-20,823385
2019-06-19,823364
2019-06-18,823453
2019-06-17,823382
2019-06-16,823268
2019-06-15,823110
2019-06-14,823054
2019-06-13,822927
2019-06-12,822903
2019-06-11,822848
2019-06-10,822799
2019-06-09,822741
2019-06-08,822653
2019-06-07,822637
2019-06-06,822615
2019-06-05,822565
2019-06-04,822507
2019-06-03,822479
2019-06-02,822408
2019-06-01,822376
2019-05-31,822408
2019-05-30,822221
2019-05-29,822199
2019-05-28,822189
2019-05-27,822187
2019-05-26,822240
2019-05-25,822096
2019-05-24,822051
2019-05-23,822006
2019-05-22,821955
2019-05-21,821872
2019-05-20,821674
2019-05-19,821533
2019-05-18,821438
2019-05-17,821400
2019-05-16,821350
2019-05-15,821242
2019-05-14,821295
2019-05-13,821333
2019-05-12,821307
2019-05-11,820630
2019-05-10,819469
2019-05-09,816196
2019-05-08,814980
2019-05-07,814991
2019-05-06,815025
2019-05-05,815044
2019-05-04,815039
2019-05-03,815111
2019-05-02,815122
2019-05-01,815153
2019-04-30,815176
2019-04-29,815141
2019-04-28,815124
2019-04-27,815105
2019-04-26,815108
2019-04-25,815077
2019-04-24,815008
2019-04-23,814960
2019-04-22,814872
2019-04-21,814864
2019-04-20,814812
2019-04-19,814776
2019-04-18,814804
2019-04-17,814798
2019-04-16,814793
2019-04-15,814780
2019-04-14,814765
2019-04-13,814762
2019-04-12,814707
2019-04-11,814799
2019-04-10,814818
2019-04-09,814939
2019-04-08,814820
2019-04-07,814785
2019-04-06,814740
2019-04-05,814707
2019-04-04,814671
2019-04-03,814629
2019-04-02,814654
2019-04-01,814698
2019-03-31,814682
2019-03-30,814664
2019-03-29,814647
2019-03-28,814615
2019-03-27,814569
2019-03-26,814565
2019-03-25,814702
2019-03-24,814556
2019-03-23,814516
2019-03-22,814497
2019-03-21,814467
2019-03-20,814547
2019-03-19,814402
2019-03-18,814412
2019-03-17,814423
2019-03-16,814397
2019-03-15,814392
2019-03-14,814408
2019-03-13,814345
2019-03-12,814323
2019-03-11,814319
2019-03-10,814297
2019-03-09,814290
2019-03-08,814281
2019-03-07,814239
2019-03-06,814188
2019-03-05,814164
2019-03-04,814135
2019-03-03,814138
2019-03-02,814127
2019-03-01,814069
2019-02-28,814012
2019-02-27,813862
2019-02-26,813858
2019-02-25,813820
2019-02-24,813753
2019-02-23,813698
2019-02-22,813649
2019-02-21,813598
2019-02-20,813580
